Time,dACMTP05,dACMTP10,dTHREEFYTP0500,dTHREEFYTP1000,monshk_daily,mpu
04-Feb-1994,0.0467318104176306,0.069506236749739,0.04540002346039,0.0500000715255799,0.161300398995415,0.032011395868761
22-Mar-1994,-0.052511147209108,-0.0466400258225708,-0.0362000465393,-0.04470002651215,-0.106924441732861,-0.07107689358483
17-May-1994,-0.117973570534944,-0.151059535264574,-0.08889997005463,-0.10069990158081,-0.184247659871792,-0.10086970033431
06-Jul-1994,0.0335940003668842,0.0637393375469086,-0.0160000324249301,-0.0116000175476096,-0.0199986501719209,-0.03618313840441
16-Aug-1994,-0.0760564045343743,-0.0881796530713777,-0.0686999559402501,-0.0787999629974401,-0.0267632501230794,-0.05457554800484
27-Sep-1994,0.0144013713955271,0.0241818591382401,0.0139000415802002,0.0156998634338401,0.0154675847012016,-0.03497157313195
15-Nov-1994,-0.0711308677787743,-0.112986583891512,-0.0248999595642099,-0.0343999862670898,0.058537019405064,-0.02967514124388
20-Dec-1994,0.025794902543927,0.032115112241935,0.00759994983673007,0.00599980354310015,0.0104960293053029,-0.00492139531020008
01-Feb-1995,0.0365401982997833,0.0440383045991908,-0.00119996070861994,0.00419998168946001,0.32381069174524,0.0142006656757099
28-Mar-1995,0.0354970261167216,0.0246095100350043,0.03050005435944,0.0329000949859599,0.145464299755341,0.02804624280576
23-May-1995,-0.0116538581712673,0.00519212724393192,-0.028699994087219,-0.0299999713897698,-0.0660138554486902,0.0124088771992998
06-Jul-1995,-0.00145871185125657,0.0378263202274907,-0.056400001049042,-0.0558999776840199,-0.281725883054957,-0.12869040985317
22-Aug-1995,0.0182528923625229,0.0210563636838383,0.011099994182587,0.01340007781982,0.0315871262153152,-0.00652958171650009
26-Sep-1995,-0.00463837123774358,0.00185672006291249,0.00190001726150502,-0.000200033187859994,0.0856994962248277,-0.0186718123891598
15-Nov-1995,0.0186122382600837,0.0103848572302949,0.0115000009536741,0.0149999856948799,0.017954956383246,-0.03411915277561
19-Dec-1995,-0.0176681564847518,-0.0130175008146542,-0.00139999389648404,-0.00400006771087003,-0.140166161531194,-0.04720154363248
31-Jan-1996,0.0131218314629429,0.0366813538904927,-0.013300001621246,-0.011000037193299,-0.0979434763104816,-0.04359777525175
26-Mar-1996,-0.0159989521155577,-0.0339313390760543,-0.00940001010894709,-0.0123000144958501,0.0186494711466465,-0.00369340702227006
21-May-1996,0.014985520839117,0.00805667888922024,0.00290000438689986,0.00609993934631015,0.0213184753114902,0.00735036544370993
03-Jul-1996,0.0305394172309725,0.0653133580594432,-0.000699996948239967,-0.00160002708434992,-0.0568824115247954,-0.03246921861996
20-Aug-1996,-0.00664986894330166,-0.0114242155111546,0.00169992446898992,0.00239992141723011,-0.00624391318223021,-0.02457440972004
24-Sep-1996,0.0199874162505118,0.017093558886053,-0.01859998703003,-0.0190999507904102,-0.158915918735147,-0.04267639046251
13-Nov-1996,0.0152129744025506,0.0209476190755344,-0.00269997119903498,-0.00290000438689986,0.0129622917752084,-0.0139171225389498
17-Dec-1996,-0.0279562547792827,-0.0445434759504852,0.01339995861053,0.0123000144958498,0.0539147352114843,-0.0317679874943499
05-Feb-1997,0.0224174860028361,0.0228319831701125,0.00559997558593017,0.00739991664886008,0.00563048460089552,0.00205060403154
25-Mar-1997,-0.0122559855901487,-0.027181309063784,0.00129997730254994,-0.00110006332398016,0.059060414006858,-0.0508999592835101
20-May-1997,0.0296923636297919,0.035735048305825,-0.0199999809265101,-0.01320004463196,-0.0877703271779179,-0.035012784613304
02-Jul-1997,-0.0197998163286561,-0.0223728831129923,-0.02140009403229,-0.02300000190734,-0.0108393974132176,-0.017206186731666
19-Aug-1997,-0.0123406329394182,-0.0209829300014333,0.00159996747970503,0.00109994411467995,0.0287470953629667,-0.0108756729940011
30-Sep-1997,-0.00141591156773035,0.00125928195748592,-0.00400000810623191,-0.00160002708434992,0.0193479075673984,-0.00340140173624193
12-Nov-1997,-0.00195135611961472,0.00654030690025476,-0.00800001621246305,-0.00859999656678001,-0.00033213494522833,0.00884132275230398
16-Dec-1997,-0.00817058273544369,-0.0159468855366285,-0.00490003824233998,-0.006600022315981,0.0054358334996691,-0.015677923289835
04-Feb-1998,0.0101963034585619,0.0223569939536929,0.00789999961852994,0.00929999351501498,0.000803004292048917,-0.00269738045008994
31-Mar-1998,-0.00972954220501343,-0.00411796863360703,-0.0167999863624569,-0.0196999907493571,-0.0300884429588325,-0.00551208506421597
19-May-1998,0.047366311960384,0.0775521944803899,-0.00220000743866,0.000999987125397062,-0.0075494027722156,0.00260333115104305
01-Jul-1998,0.0121717811455166,0.0370360839789967,-0.00979995727539096,-0.00830000638961803,-0.0171875366192837,-0.012865155985597
18-Aug-1998,0.00098047897103104,-0.00308235658141864,-0.000299990177155096,-0.000299990177154985,0.0212510407263005,-0.00944571938281902
29-Sep-1998,-0.0295650900307205,-0.0559251162443726,-0.00890000164508803,-0.0118000507354741,0.0349145400869573,-0.041427802638498
17-Nov-1998,0.0292896696931839,0.0429102238381107,0.021999984979629,0.022899985313415,-0.0509756773332007,-0.12328858029165
22-Dec-1998,0.0463851533133877,0.0666703285876835,0.025599986314773,0.0314000248909001,0.0351930159347324,-0.00978789677390002
03-Feb-1999,-0.00113321947523648,-0.0128452126086467,0.024000018835068,0.028400003910064,0.0350850582059006,-0.018970419011977
30-Mar-1999,-0.0348069859057141,-0.0406234274921102,-0.016499996185303,-0.0183999538421702,-0.0308460194954918,-0.016339241288006
