"date","PCA1"
1990-01-02,2.04168829920015
1990-01-03,2.06257479610606
1990-01-04,2.06559495154148
1990-01-05,2.02184149985556
1990-01-08,2.04108909795978
1990-01-09,2.02714801793174
1990-01-10,2.02806142596947
1990-01-11,2.02556565537955
1990-01-12,2.02026587262296
1990-01-15,2.03417786550382
1990-01-16,2.11858973847089
1990-01-17,2.10028679668253
1990-01-18,2.17557247276642
1990-01-19,2.17108581738305
1990-01-22,2.19124153184808
1990-01-23,2.17283787304537
1990-01-24,2.20459991634192
1990-01-25,2.24426212070224
1990-01-26,2.26997943798458
1990-01-29,2.26815685380224
1990-01-30,2.2822017708832
1990-01-31,2.24959540370844
1990-02-01,2.23874345140971
1990-02-02,2.18906854246039
1990-02-05,2.1350277944974
1990-02-06,2.15285628489206
1990-02-07,2.19412296899892
1990-02-08,2.18175065191164
1990-02-09,2.14712901746076
1990-02-12,2.17208271336705
1990-02-13,2.15681403637524
1990-02-14,2.13550899335617
1990-02-15,2.15422694393763
1990-02-16,2.11053018329911
1990-02-20,2.18037612336286
1990-02-21,2.2084884316187
1990-02-22,2.191889558917
1990-02-23,2.18781263136228
1990-02-26,2.22093849804086
1990-02-27,2.17608032049858
1990-02-28,2.15199091072669
1990-03-01,2.15962965443525
1990-03-02,2.17317773405395
1990-03-05,2.15996887073653
1990-03-06,2.15724250500934
1990-03-07,2.16384703880933
1990-03-08,2.17851051300272
1990-03-09,2.20820257775988
1990-03-12,2.19465228091776
1990-03-13,2.22089214242762
1990-03-14,2.21538377362767
1990-03-15,2.20251066950535
1990-03-16,2.174048132184
1990-03-19,2.18147639828466
1990-03-20,2.16559048217964
1990-03-21,2.16626615369838
1990-03-22,2.18542966361881
1990-03-23,2.18544083447511
1990-03-26,2.17816435257557
1990-03-27,2.18604081170279
1990-03-28,2.16676995342442
1990-03-29,2.19386632406778
1990-03-30,2.21006716275638
1990-04-02,2.21314792347845
1990-04-03,2.19724598520997
1990-04-04,2.21579152276913
1990-04-05,2.2098150394978
1990-04-06,2.13093455942023
1990-04-09,2.11246541280816
1990-04-10,2.09866017320664
1990-04-11,2.09209677327303
1990-04-12,2.08892016014085
1990-04-16,2.07964010581309
1990-04-17,2.07635525757882
1990-04-18,2.11715746265064
1990-04-19,2.14104063496709
1990-04-20,2.1438697942634
1990-04-23,2.18272801000049
1990-04-24,2.1838530378324
1990-04-25,2.18320909117008
1990-04-26,2.27076563225982
1990-04-27,2.298381209546
1990-04-30,2.2896241133005
1990-05-01,2.36504627769569
1990-05-02,2.38106122418995
1990-05-03,2.38736302809677
1990-05-04,2.3436052907286
1990-05-07,2.29998061058154
1990-05-08,2.29209712535173
1990-05-09,2.27835034885753
1990-05-10,2.25298118275682
1990-05-11,2.2032763754329
1990-05-14,2.23642668156379
1990-05-15,2.21184997936026
1990-05-16,2.1723140987357
1990-05-17,2.14289428480687
1990-05-18,2.14085484324382
1990-05-21,2.11270424184847
1990-05-22,2.10132102559026
1990-05-23,2.10732795249888
1990-05-24,2.06840785472775
1990-05-25,2.08907980842216
1990-05-29,2.09676218612914
1990-05-30,2.08752657497369
1990-05-31,2.08639525033108
1990-06-01,2.04669237512031
1990-06-04,2.0176327716639
1990-06-05,2.00231325038602
1990-06-06,2.02043331918042
1990-06-07,2.02402936240486
1990-06-08,2.00630505758316
1990-06-11,1.99125332098647
1990-06-12,1.99891472785296
1990-06-13,2.01112425994737
1990-06-14,2.00003335367357
1990-06-15,2.00611189965331
1990-06-18,1.99749945833703
1990-06-19,1.95423231057451
1990-06-20,1.93191987554388
1990-06-21,1.88031643171838
1990-06-22,1.88134925187206
1990-06-25,1.87417580692285
1990-06-26,1.90784659108141
1990-06-27,1.96790232148401
1990-06-28,2.0019474364781
1990-06-29,1.97122492598218
1990-07-02,1.97139255595282
1990-07-03,1.90038526819374
1990-07-05,1.91396574202739
1990-07-06,1.85032372094186
1990-07-09,1.86862228973971
1990-07-10,1.86582236524158
1990-07-11,1.86835992271216
1990-07-12,1.86867414740605
1990-07-13,1.82191806528093
1990-07-16,1.82432769682197
1990-07-17,1.80456643579902
1990-07-18,1.76109971747698
1990-07-19,1.70868948961125
1990-07-20,1.68213319710375
1990-07-23,1.71048070262321
1990-07-24,1.73268851907761
1990-07-25,1.72908492956914
1990-07-26,1.72210406852547
1990-07-27,1.70845858760342
1990-07-30,1.70812106042592
1990-07-31,1.70062774581434
1990-08-01,1.71509815205924
1990-08-02,1.75324916037241
1990-08-03,1.77791927254868
1990-08-06,1.91685690878153
1990-08-07,1.96399205159124
1990-08-08,2.0327414172452
1990-08-09,2.03139151111516
1990-08-10,2.02934184561766
1990-08-13,2.05280464678713
1990-08-14,2.02371418277951
1990-08-15,1.92759887629224
1990-08-16,2.01928621821715
1990-08-17,2.03416577267945
1990-08-20,2.06051844821582
1990-08-21,2.16941135377264
1990-08-22,2.26732216455562
1990-08-23,2.33367195791421
1990-08-24,2.42375493242255
1990-08-27,2.26733203110267
1990-08-28,2.20236448494526
1990-08-29,2.19620164077015
1990-08-30,2.20562735260078
1990-08-31,2.20010200709244
1990-09-04,2.17408573496788
1990-09-05,2.15261655137901
1990-09-06,2.13049922913625
1990-09-07,2.08690226418723
1990-09-10,2.06300087060162
1990-09-11,2.0396368909304
1990-09-12,2.00575409700271
1990-09-13,1.99461362717446
1990-09-14,1.99145337363346
1990-09-17,2.02253185096035
1990-09-18,2.00814506358662
1990-09-19,2.02182956699684
1990-09-20,2.06207971160307
1990-09-21,2.10870546205538
1990-09-24,2.12191961586468
1990-09-25,2.08615354495205
