1996  03  15	 4.922254	 6.014560	 8.125000
1996  03  18	 4.908947	 5.882735	 8.125000
1996  03  19	 5.042062	 5.865743	 6.929287
1996  03  20	 4.886475	 5.693420	 6.877440
1996  03  21	 5.022124	 5.715295	 6.724365
1996  03  22	 4.964453	 5.854575	 6.734307
1996  03  25	 4.890997	 5.697459	 6.689101
1996  03  26	 4.832035	 5.703995	 6.687778
1996  03  27	 4.922662	 5.831139	 6.742477
1996  03  28	 4.937494	 6.061214	 6.923553
1996  03  29	 5.014477	 5.747441	 6.854465
1996  04  01	 5.036316	 5.747581	 6.843963
1996  04  02	 5.003973	 5.864895	 6.829008
1996  04  03	 5.005797	 5.755640	 6.805172
1996  04  04	 4.912877	 6.015589	 6.756291
1996  04  05	 5.179335	 6.177164	 7.307652
1996  04  08	 5.327907	 6.318587	 7.374744
1996  04  09	 5.273900	 6.277639	 7.128475
1996  04  10	 5.405376	 6.341655	 7.406043
1996  04  11	 5.456903	 6.368297	 7.375022
1996  04  12	 5.092760	 6.112450	 7.085413
1996  04  15	 5.079367	 5.990777	 7.039301
1996  04  16	 4.978447	 6.035522	 7.189056
1996  04  17	 5.122143	 6.119641	 7.215372
1996  04  18	 5.150242	 6.141881	 7.265950
1996  04  19	 5.102712	 6.094924	 7.258845
1996  04  22	 4.979362	 6.020860	 7.302725
1996  04  23	 4.981590	 6.070842	 7.327138
1996  04  24	 5.090564	 6.085535	 7.363283
1996  04  25	 5.099926	 6.091371	 7.383870
1996  04  26	 4.969637	 6.075290	 7.397268
1996  04  29	 5.112540	 6.114553	 7.444940
1996  04  30	 5.171546	 6.243242	 7.432248
1996  05  01	 5.174421	 6.181444	 7.530199
1996  05  02	 5.428729	 6.345667	 7.661277
1996  05  03	 5.352839	 6.377787	 7.719775
1996  05  06	 5.305417	 6.424612	 7.647717
1996  05  07	 5.436663	 6.437775	 7.668805
1996  05  08	 5.354980	 6.421203	 7.660653
1996  05  09	 5.500442	 6.441180	 7.688222
1996  05  10	 5.219535	 6.349826	 7.665334
1996  05  13	 5.221527	 6.348156	 7.719544
1996  05  14	 5.110269	 6.237677	 6.878333
1996  05  15	 5.112421	 6.185403	 6.890405
1996  05  16	 5.164084	 6.259070	 6.934331
1996  05  17	 5.181952	 6.202567	 6.936978
1996  05  20	 5.151497	 6.234077	 6.980540
1996  05  21	 5.171733	 6.251961	 6.962426
1996  05  22	 5.171827	 6.280174	 6.962489
1996  05  23	 5.288220	 6.299757	 6.947988
1996  05  24	 5.180237	 6.165918	 6.959971
1996  05  27	 NaN	 NaN	 NaN
1996  05  28	 5.208538	 6.255559	 7.372225
1996  05  29	 5.237843	 6.369514	 8.327178
