Time,mpu,monshk_daily,tf,pf,tf_fa,del,ody
04-Feb-1994,0.032011395868761,0.161300398995415,0.0710461186346069,0.118999003705498,NaN,NaN,NaN
22-Mar-1994,-0.07107689358483,-0.106924441732861,-0.0290849809394093,-0.092813741014663,NaN,NaN,NaN
17-May-1994,-0.10086970033431,-0.184247659871792,0.0943522955423221,-0.271673504333911,NaN,NaN,NaN
06-Jul-1994,-0.03618313840441,-0.0199986501719209,-0.0252946920461739,-0.0020027420133873,NaN,NaN,NaN
16-Aug-1994,-0.05457554800484,-0.0267632501230794,0.137049463440377,-0.134863198547274,NaN,NaN,NaN
27-Sep-1994,-0.03497157313195,0.0154675847012016,-0.0160001114562163,0.0290558831743226,NaN,NaN,NaN
15-Nov-1994,-0.02967514124388,0.058537019405064,-0.00937168355994203,0.0703760996446411,NaN,NaN,NaN
20-Dec-1994,-0.00492139531020008,0.0104960293053029,-0.0281920212573465,0.0331243069632913,NaN,NaN,NaN
01-Feb-1995,0.0142006656757099,0.32381069174524,0.481847313308708,-0.0234813722572235,NaN,NaN,NaN
28-Mar-1995,0.02804624280576,0.145464299755341,0.0162542842368454,0.144299860355919,NaN,NaN,NaN
23-May-1995,0.0124088771992998,-0.0660138554486902,0.00895094823844265,-0.0781138586525448,NaN,NaN,NaN
06-Jul-1995,-0.12869040985317,-0.281725883054957,-0.0747264556478436,-0.246021819174834,NaN,NaN,NaN
22-Aug-1995,-0.00652958171650009,0.0315871262153152,-0.0053530907948855,0.0382045796180591,NaN,NaN,NaN
26-Sep-1995,-0.0186718123891598,0.0856994962248277,0.0391149068971896,0.0621666490379265,NaN,NaN,NaN
15-Nov-1995,-0.03411915277561,0.017954956383246,0.00305880439477347,0.0169971655692912,NaN,NaN,NaN
19-Dec-1995,-0.04720154363248,-0.140166161531194,-0.0948613817889191,-0.0777874401591247,NaN,NaN,NaN
31-Jan-1996,-0.04359777525175,-0.0979434763104816,-0.0729560802948363,-0.0491963006253466,NaN,NaN,NaN
26-Mar-1996,-0.00369340702227006,0.0186494711466465,0.0118381859623018,0.0109557169733164,NaN,NaN,NaN
21-May-1996,0.00735036544370993,0.0213184753114902,0.00301411310333643,0.0206590217844826,NaN,NaN,NaN
03-Jul-1996,-0.03246921861996,-0.0568824115247954,-0.054731518926314,-0.0190110021830622,NaN,NaN,NaN
20-Aug-1996,-0.02457440972004,-0.00624391318223021,-0.0294621254558671,0.0160539646927099,NaN,NaN,NaN
24-Sep-1996,-0.04267639046251,-0.158915918735147,-0.132349759531438,-0.0690121222772729,NaN,NaN,NaN
13-Nov-1996,-0.0139171225389498,0.0129622917752084,0.0126052850425762,0.00422922883194998,NaN,NaN,NaN
17-Dec-1996,-0.0317679874943499,0.0539147352114843,0.00430291374414167,0.054814689938797,NaN,NaN,NaN
05-Feb-1997,0.00205060403154,0.00563048460089552,-0.029251439752048,0.0286966101486067,NaN,NaN,NaN
25-Mar-1997,-0.0508999592835101,0.059060414006858,0.00962721603163262,0.0562458074692224,NaN,NaN,NaN
20-May-1997,-0.035012784613304,-0.0877703271779179,-0.107130542759503,-0.0117930648827295,NaN,NaN,NaN
02-Jul-1997,-0.017206186731666,-0.0108393974132176,-0.00820837725183146,-0.00534065081671679,NaN,NaN,NaN
19-Aug-1997,-0.0108756729940011,0.0287470953629667,-0.00870088212704177,0.0377311855566984,NaN,NaN,NaN
30-Sep-1997,-0.00340140173624193,0.0193479075673984,-0.00257042458511321,0.0228532904127486,NaN,NaN,NaN
12-Nov-1997,0.00884132275230398,-0.00033213494522833,-0.0279708269257884,0.0212759034211522,NaN,NaN,NaN
16-Dec-1997,-0.015677923289835,0.0054358334996691,-0.0135275980475412,0.0163250615826543,NaN,NaN,NaN
04-Feb-1998,-0.00269738045008994,0.000803004292048917,0.00211263270898153,-0.000768042701508711,NaN,NaN,NaN
31-Mar-1998,-0.00551208506421597,-0.0300884429588325,-0.0072535678051604,-0.0268377260036017,NaN,NaN,NaN
19-May-1998,0.00260333115104305,-0.0075494027722156,-0.0282013600018872,0.0136709559877949,NaN,NaN,NaN
01-Jul-1998,-0.012865155985597,-0.0171875366192837,-0.00784673949806858,-0.0124663271972542,NaN,NaN,NaN
18-Aug-1998,-0.00944571938281902,0.0212510407263005,0.0123406058095818,0.013372706900076,NaN,NaN,NaN
29-Sep-1998,-0.041427802638498,0.0349145400869573,0.0776690972681126,-0.0224207229543111,NaN,NaN,NaN
17-Nov-1998,-0.12328858029165,-0.0509756773332007,-0.0719454856505463,0.000673116889892258,NaN,NaN,NaN
22-Dec-1998,-0.00978789677390002,0.0351930159347324,-0.0122040696034482,0.0473921485193766,NaN,NaN,NaN
03-Feb-1999,-0.018970419011977,0.0350850582059006,-0.000299031301118961,0.0380677520465773,-0.023288886416035,0.0724717954367779,0.0128428108890656
30-Mar-1999,-0.016339241288006,-0.0308460194954918,-0.00485323198176813,-0.0295112564156451,0.0388175690553032,-0.139811564704314,0.0266736185426905
18-May-1999,-0.00350479607804799,0.0825935123238355,-0.0251299745511351,0.108507405889817,0.00257384784589375,0.116163472027374,0.0239418338656378
30-Jun-1999,-0.0642151096541901,-0.123494985715481,-0.0414720058006786,-0.101102998744678,-0.0648664189698804,-0.126221680600003,0.0365678283418916
24-Aug-1999,-0.0357102540299701,-0.00538401945621621,0.0394115633611512,-0.0362891822245877,0.0356807980628112,-0.106124207104736,0.0231045391545772
05-Oct-1999,0.0204826444586599,0.0933332669653025,-0.0502655994569727,0.139530576314451,0.0305521200682704,0.0865429327163207,-0.0246583195095014
