Time,mpu,monshk_daily,dSVENY05,dSVENY10,sp_daily,dvix,dollar_ret_pm,esdummy,fomcdum
03-Jan-1994,0.0495937636028601,0,0.0985416580000003,0.100132626,-0.00216766008929881,0.91,NaN,0,0
04-Jan-1994,-0.01959332555918,0,-0.0377433719999996,-0.0491121899999998,0.00311051696860876,-0.66,0.00437053651107322,0,0
05-Jan-1994,0.0143715373662601,0,0.0177964789999994,0.0214894440000002,0.00141255320324163,-0.970000000000001,-0.000728979227619792,0,0
06-Jan-1994,-0.0406061405032401,0,-0.0670940929999997,-0.0594012289999997,-0.00092009594435627,0.33,-0.00117040107516323,0,0
07-Jan-1994,-0.066421695240361,0,-0.167893845,-0.15210607,0.0059337200687013,-0.309999999999999,0.00628331363833978,0,0
10-Jan-1994,-0.00800873375190192,0,-0.0193710119999997,-0.0117433419999999,0.0113631471123847,-0.220000000000001,-0.00136388215059683,0,0
11-Jan-1994,-0.00294398485152403,0,-0.0122291700000003,-0.00761004700000001,-0.00240148421123632,0.549999999999999,-0.00207102285573606,0,0
12-Jan-1994,-0.014304750825644,0,-0.05081136,-0.0770247900000003,8.43783597268555e-05,0.360000000000001,0.00405479152698587,0,0
13-Jan-1994,0.023386294143304,0,0.118768356,0.112001381,-0.00359167962983609,0.43,-0.00348859459282031,0,0
14-Jan-1994,0.017191935222963,0,0.0466336119999999,0.0478503450000005,0.00515106584953795,-0.93,-0.00058721514236693,0,0
17-Jan-1994,0.00758550379891298,0,0,0,-0.00339590926236966,0.73,0.00308717375471376,0,0
18-Jan-1994,-0.010042430375035,0,-0.0330131420000006,-0.02400526,0.00200519725682025,-0.25,0.00413837331432866,0,0
19-Jan-1994,-0.0227535438229289,0,0,0,0.000105398767969334,0.129999999999999,-0.000101439163105564,0,0
20-Jan-1994,-0.04533720574402,0,-0.0591003599999995,-0.0408203189999998,0.00143271346080809,-0.6,0.00231480865744497,0,0
21-Jan-1994,-0.00391509584271699,0,0.0207470540000001,0.0136597009999999,-0.000547562394884515,-0.0700000000000003,-0.00272262214866282,0,0
24-Jan-1994,-0.00323766627879207,0,0.00267022899999958,0.00544782500000007,-0.00580973228669546,0.51,0.000766467845020937,0,0
25-Jan-1994,0.00119979841246409,0,0.0263889429999997,0.0346385279999994,-0.00222717054678778,-0.219999999999999,0.00294249661849639,0,0
26-Jan-1994,0.00308223953228692,0,-0.00717939099999931,-0.0217672669999995,0.00482990164795449,-0.210000000000001,0.00159919563989831,0,0
27-Jan-1994,-0.00131081093326202,0,-0.0408585270000001,-0.0662316089999999,0.00810312457977069,-0.869999999999999,0.00533492708909385,0,0
28-Jan-1994,-0.00676779704358599,0,-0.0553123910000002,-0.0619411120000004,0.0034528394230966,-0.360000000000001,-0.00614546603247215,0,0
31-Jan-1994,-0.00322002897737494,0,0.0349595230000004,0.0267038170000005,0.00606050528675262,0.690000000000001,0.00609251617548347,0,0
01-Feb-1994,0.031266386992057,0,0.0728308169999998,0.0767559950000001,-0.00414051347630018,0.0199999999999996,0.00273862453980019,0,0
02-Feb-1994,0.015956944384393,0,0.00501386799999981,0.00355552699999961,0.0049500007737926,-0.0400000000000009,-0.00181597581428738,0,0
03-Feb-1994,0.03358877645876,0,0.0611321839999999,0.037153945,-0.00267995509373975,0.140000000000001,-0.00197784640611018,0,0
04-Feb-1994,0.032011395868761,0.138864986773943,0.139798839,0.139119969,-0.0229358055621551,4.5,-0.00822126779547043,0,1
07-Feb-1994,0.00214186152231899,0,0.0464361589999998,0.011559106,0.00414204949476193,-1.29,0.0029995875319366,0,0
08-Feb-1994,-0.031895620892704,0,0.0426920520000005,0.0561680099999995,-0.00150618286979309,-0.300000000000001,-0.00379238590997754,0,0
09-Feb-1994,-0.021389565274634,0,-0.0297430360000002,-0.0301972719999997,0.00364476901528743,-0.359999999999999,0.00295526060093202,0,0
10-Feb-1994,-0.00395455429555702,0,0.0128798190000001,0.00050942499999973,-0.00815550038707347,0.94,-0.00161461111133939,0,0
11-Feb-1994,-0.006406908577823,0,-0.0209403459999997,-0.0307179880000001,0.00266209657407224,0.220000000000001,0.000233163211147925,0,0
14-Feb-1994,-0.00846286257511197,0,0.0150920049999996,0.0372890250000006,0.000106374878690474,-0.180000000000001,0.0109972084267599,0,0
15-Feb-1994,-0.01123977888456,0,-0.0127935470000002,-0.0217606940000001,0.00485809070023002,-0.879999999999999,-0.00324125872479283,0,0
16-Feb-1994,-0.018709846015589,0,0.00532381799999992,0.00715673000000017,0.000571283511049181,-0.27,0.00276775263115808,0,0
17-Feb-1994,0.0299247828645149,0,0.104434137,0.0994174549999993,-0.00519550538773039,0.659999999999998,0.00283780910555133,0,0
18-Feb-1994,0.04177248021362,0,0.0690682560000004,0.0848163550000001,-0.0056501413718868,0.91,0.000790664511625956,0,0
21-Feb-1994,NaN,0,0,0,NaN,NaN,-0.00642424653189959,0,0
22-Feb-1994,0.00752638450372101,0,-0.0213225929999998,-0.0293877839999999,0.00802855620185206,-1.18,0.00540241854968161,0,0
23-Feb-1994,0.023730424855106,0,0.0806878269999993,0.0657591379999998,-0.00163453627798749,0.390000000000001,-0.00141634077476294,0,0
24-Feb-1994,0.022111159254683,0,0.070597115,0.0993426390000005,-0.0137549458172224,2.05,0.0036141660273414,0,0
25-Feb-1994,-0.016716571625052,0,-0.0039268219999995,-0.0131198560000003,0.0038910907970866,-1.16,-0.000590067542646064,0,0
28-Feb-1994,-0.0079603020955159,0,-0.0493621969999998,-0.0352967809999996,0.00229317826357622,0.0699999999999985,0.00182775394692647,0,0
