Time,dSVENY05,dSVENY10,sp_daily,dvix,dollar_ret_pm,tf,pf,mpu,mpu_level_lag
04-Feb-1994,0.139798839,0.139119969,-2.29358055621551,4.5,0.822126779547043,0.0710461186346069,0.118999003705498,0.032011395868761,0.958110238324974
22-Mar-1994,-0.116405374999999,-0.105021916,0.0554716554288959,-0.949999999999999,-0.0642470025231782,-0.0290849809394093,-0.092813741014663,-0.07107689358483,1.20187913619318
17-May-1994,-0.190055393000001,-0.217269206,1.09190557067009,-0.59,-0.0498948537603942,0.0943522955423221,-0.271673504333911,-0.10086970033431,1.54932472940174
06-Jul-1994,-0.0107950570000002,0.0245359270000005,-0.0537792730048281,-0.220000000000001,-0.181980908027709,-0.0252946920461739,-0.0020027420133873,-0.03618313840441,1.58169741869904
16-Aug-1994,-0.103734728999999,-0.121087713000001,0.816207440706229,-0.67,0.347984271130285,0.137049463440377,-0.134863198547274,-0.05457554800484,1.4355827600084
27-Sep-1994,0.0226122339999995,0.0348406749999999,0.266555795493506,-0.43,-0.480328958721078,-0.0160001114562163,0.0290558831743226,-0.03497157313195,1.40650000339247
15-Nov-1994,0.000577617000000252,-0.0561608080000005,-0.216956917847355,-0.0199999999999996,0.677753085479423,-0.00937168355994203,0.0703760996446411,-0.02967514124388,1.29481556407759
20-Dec-1994,-0.0138999999999996,0.00150000000000006,-0.177046852543672,-0.0399999999999991,-0.0847072706216231,-0.0281920212573465,0.0331243069632913,-0.00492139531020008,1.45829417995021
01-Feb-1995,0.0401999999999996,0.0505000000000004,-0.00425564929615874,-0.23,-0.299813803449249,0.481847313308708,-0.0234813722572235,0.0142006656757099,1.43526296170902
28-Mar-1995,0.105005516,0.087106941,0.139009454582073,-0.5,-0.512514505207018,0.0162542842368454,0.144299860355919,0.02804624280576,1.45291861689846
23-May-1995,-0.0747856339999995,-0.0508751099999998,0.938956712290473,-0.129999999999999,0.0177413696991289,0.00895094823844265,-0.0781138586525448,0.0124088771992998,1.46669826711041
06-Jul-1995,-0.174216202,-0.111719111,1.22225902990154,-0.58,-0.191617620483525,-0.0747264556478436,-0.246021819174834,-0.12869040985317,1.64917393625101
22-Aug-1995,0.0414774600000003,0.0411830340000003,0.252326036669448,-0.82,0.209751791832728,-0.0053530907948855,0.0382045796180591,-0.00652958171650009,1.44239212477408
26-Sep-1995,0.0190962469999993,0.0186008769999999,-0.0687789112536308,-0.32,0.212878939733334,0.0391149068971896,0.0621666490379265,-0.0186718123891598,1.42361315963473
15-Nov-1995,0.0401356359999996,0.0303827340000007,0.789362898615931,-0.430000000000001,-0.0534370391346909,0.00305880439477347,0.0169971655692912,-0.03411915277561,1.40429089897986
19-Dec-1995,-0.071749692,-0.0602658549999999,0.84021615091654,-1.39,0.450757428852505,-0.0948613817889191,-0.0777874401591247,-0.04720154363248,1.25556052838845
31-Jan-1996,-0.0568789549999993,-0.0241475920000003,0.92721164624523,0.109999999999999,-0.33267105256887,-0.0729560802948363,-0.0491963006253466,-0.04359777525175,1.08117034491018
26-Mar-1996,0.00417468499999973,-0.0150355050000002,0.449727638783859,-0.0399999999999991,0.114924568997551,0.0118381859623018,0.0109557169733164,-0.00369340702227006,1.33346569482879
21-May-1996,0.0319819720000005,0.0263261230000005,-0.0579554355141454,0.199999999999999,0.222011192324679,0.00301411310333643,0.0206590217844826,0.00735036544370993,1.26856440662883
03-Jul-1996,-0.0304527099999996,0.00819936500000029,-0.179784892804502,0.0200000000000014,-0.194610323598495,-0.054731518926314,-0.0190110021830622,-0.03246921861996,1.32172348141695
20-Aug-1996,0.000899670999999991,-0.00473408600000003,-0.133608820990716,-0.539999999999999,0.111200559159991,-0.0294621254558671,0.0160539646927099,-0.02457440972004,1.22036764596926
24-Sep-1996,-0.0810087079999997,-0.0482600099999999,-0.126813130156656,-0.0100000000000016,-0.297259193853308,-0.132349759531438,-0.0690121222772729,-0.04267639046251,1.23756488823537
13-Nov-1996,0.00982309800000003,0.0172296279999999,0.214967939997557,-0.469999999999999,-0.0329360410076512,0.0126052850425762,0.00422922883194998,-0.0139171225389498,1.17193869504365
17-Dec-1996,0.0442570920000005,0.0172087520000002,0.699370951526745,-1.22,-0.0144235129767094,0.00430291374414167,0.054814689938797,-0.0317679874943499,1.13569943251958
05-Feb-1997,0.0278031800000003,0.0306038490000002,-1.40094164196745,1.63,-0.0455316947879513,-0.029251439752048,0.0286966101486067,0.00205060403154,1.06023629987716
25-Mar-1997,0.034174846,0.0112730509999999,-0.230386690761542,-0.799999999999997,0.268583531265252,0.00962721603163262,0.0562458074692224,-0.0508999592835101,1.0237372962268
20-May-1997,-0.0184791290000001,-0.000725038999999761,1.00183568365795,-2.22,-1.43619178474042,-0.107130542759503,-0.0117930648827295,-0.035012784613304,0.93361749461028
02-Jul-1997,-0.023877723,-0.0274614409999998,1.44844482765683,-1.3,-0.0565151752558306,-0.00820837725183146,-0.00534065081671679,-0.017206186731666,0.868610666632473
19-Aug-1997,0.0115236530000002,-0.00186852299999973,1.47079289894938,-1.73,0.084333960596385,-0.00870088212704177,0.0377311855566984,-0.0108756729940011,0.861438236994277
30-Sep-1997,0.0158113030000004,0.0187863029999997,-0.637688581314144,0.68,-0.375274213307099,-0.00257042458511321,0.0228532904127486,-0.00340140173624193,0.805799636461822
12-Nov-1997,-0.0201755270000001,-0.0113004339999998,-1.94788002055812,1.46,0.516930600309987,-0.0279708269257884,0.0212759034211522,0.00884132275230398,0.891705076676893
